0, 0, [63.96644870051612], [0.67464042 2.00524767 0.14676717 2.78311154], [0.67431473 0.40104953 0.14591308 0.54757378]
0, 1, [2.084681003506164], [0.11385827 0.89756991 0.53091464 2.40578852], [0.11297124 0.17951398 0.53044509 0.47056908]
0, 2, [118.20732187544833], [0.9811267  0.30044273 0.81021484 0.89575602], [0.98110781 0.06008855 0.81002486 0.16239919]
0, 3, [53.321788647071436], [0.51620446 0.80410288 0.39699939 3.2437578 ], [0.51572018 0.16082058 0.39639578 0.64158323]
0, 4, [129.88312959967905], [0.87417903 0.92448066 0.70985948 1.83794196], [0.87405309 0.18489613 0.70956905 0.35468203]
0, 5, [43.67067919772609], [0.41174973 3.23291107 0.90908909 3.11918666], [0.41116089 0.64658221 0.90899809 0.61616054]
0, 6, [126.3308693201482], [0.71399709 0.95571988 0.24659871 4.88436828], [0.7137108  0.19114398 0.24584456 0.97640169]
0, 7, [95.50905248668846], [0.80441595 4.54243143 0.54955782 1.70462098], [0.80422017 0.90848629 0.54910692 0.32747367]
0, 8, [1.2931301442388754], [0.07509109 3.23505058 0.60788096 3.8627622 ], [0.07416525 0.64701012 0.60748845 0.76791065]
0, 9, [52.729657573588966], [0.58037203 4.51419135 0.49770763 1.99454431], [0.57995198 0.90283827 0.49720483 0.3866417 ]
0, 10, [77.83795054435089], [0.69828187 1.83294578 0.54224192 2.00267746], [0.69797985 0.36658916 0.5417837  0.38830152]
0, 11, [3.2047616106460826], [0.35184717 4.75897583 0.11598032 0.27161154], [0.35119836 0.95179517 0.11509541 0.03502276]
0, 12, [151.3373024257025], [0.69974049 3.78436607 0.79284933 4.3879815 ], [0.69943993 0.75687321 0.79264198 0.87509827]
0, 13, [47.02523501230135], [0.39957595 2.32906253 0.82215525 4.11386073], [0.39897492 0.46581251 0.82197723 0.81915525]
0, 14, [57.99748144290721], [0.50745765 3.42531913 0.82236239 2.65693712], [0.50696462 0.68506383 0.82218457 0.5218239 ]
0, 15, [54.763052297016884], [0.52788118 2.813366   0.29960865 3.49444763], [0.52740859 0.5626732  0.29890756 0.69274441]
0, 16, [2.732069618506284], [0.33601346 4.73927216 0.14017595 0.20662435], [0.33534881 0.94785443 0.13931527 0.02176007]
0, 17, [83.62024809783716], [0.66899001 4.7258866  0.9305735  1.7402817 ], [0.66865867 0.94517732 0.930504   0.33475137]
0, 18, [25.644255733980277], [0.46678097 2.59079211 0.23098083 1.96086941], [0.46624722 0.51815842 0.23021104 0.37976927]
0, 19, [57.52239375935311], [0.41853365 3.58040045 0.87206146 4.60870898], [0.4179516  0.71608009 0.87193339 0.92014469]
0, 20, [21.842526215883872], [0.33727789 0.28674029 0.38185098 3.13557193], [0.3366145  0.05734806 0.38123221 0.61950448]
0, 21, [142.09821948915896], [0.81950213 3.59147159 0.46792499 3.23343358], [0.81932145 0.71829432 0.46739239 0.63947624]
0, 22, [41.500346418742076], [0.42452557 4.16013876 0.14185533 4.93654703], [0.42394952 0.83202775 0.14099632 0.98705041]
0, 23, [88.3235564967713], [0.72371803 0.22083373 0.86073467 1.55381238], [0.72344148 0.04416675 0.86059527 0.29669641]
0, 24, [27.868708075678782], [0.42272392 2.2339828  0.16635401 3.12200042], [0.42214607 0.44679656 0.16551953 0.61673478]
0, 25, [57.372844576398315], [0.59760226 0.36550268 0.03093699 3.86343332], [0.59719946 0.07310054 0.02996695 0.76804762]
0, 26, [82.77714254858066], [0.69716627 4.63492278 0.00726756 4.27858539], [0.69686313 0.92698456 0.00627383 0.85277253]
0, 27, [92.25430725390231], [0.72744568 1.38079947 0.80546259 1.76615641], [0.72717286 0.27615989 0.80526786 0.34003192]
0, 28, [178.31698347429145], [0.77884092 1.73423507 0.77067465 4.18374563], [0.77861954 0.34684701 0.7704451  0.83341747]
0, 29, [37.7165067162789], [0.59105691 0.76109089 0.60959554 0.9154001 ], [0.59064755 0.15221818 0.60920474 0.16640818]
0, 30, [96.01014415325861], [0.68909472 1.09473616 0.68189274 2.52462583], [0.6887835  0.21894723 0.68157432 0.4948216 ]
0, 31, [42.962203178614956], [0.6126101  4.21603316 0.14471818 2.12964986], [0.61222233 0.84320663 0.14386204 0.41421426]
0, 32, [63.51405345310587], [0.47128011 2.57841045 0.68749651 4.26054923], [0.47075086 0.51568209 0.6871837  0.84909168]
0, 33, [3.77137271443073], [0.16518392 0.24516159 0.73642863 1.3143513 ], [0.16434827 0.04903232 0.7361648  0.2478268 ]
